Evaluation Metrics:
Mean Average Precision (mAP): 0.2751
Per-Emotion AP:
  Emotion_0: 0.3136
  Emotion_1: 0.1478
  Emotion_2: 0.1328
  Emotion_3: 0.5679
  Emotion_4: 0.0528
  Emotion_5: 0.7472
  Emotion_6: 0.1307
  Emotion_7: 0.2750
  Emotion_8: 0.1799
  Emotion_9: 0.1824
  Emotion_10: 0.0196
  Emotion_11: 0.8583
  Emotion_12: 0.1605
  Emotion_13: 0.6945
  Emotion_14: 0.1416
  Emotion_15: 0.0703
  Emotion_16: 0.6956
  Emotion_17: 0.1075
  Emotion_18: 0.2465
  Emotion_19: 0.4319
  Emotion_20: 0.2853
  Emotion_21: 0.0957
  Emotion_22: 0.2981
  Emotion_23: 0.0859
  Emotion_24: 0.1438
  Emotion_25: 0.0881
Accuracy: 0.0815
Precision: 0.3828
Recall: 0.0815
F1 Score: 0.0300
