Evaluation Metrics:
Mean Average Precision (mAP): 0.2992
Per-Emotion AP:
  Emotion_0: 0.3611
  Emotion_1: 0.1665
  Emotion_2: 0.1632
  Emotion_3: 0.5720
  Emotion_4: 0.0601
  Emotion_5: 0.7531
  Emotion_6: 0.1651
  Emotion_7: 0.2814
  Emotion_8: 0.1875
  Emotion_9: 0.1966
  Emotion_10: 0.0226
  Emotion_11: 0.8608
  Emotion_12: 0.1743
  Emotion_13: 0.7004
  Emotion_14: 0.1625
  Emotion_15: 0.0921
  Emotion_16: 0.7459
  Emotion_17: 0.1277
  Emotion_18: 0.2674
  Emotion_19: 0.4641
  Emotion_20: 0.3691
  Emotion_21: 0.1200
  Emotion_22: 0.4231
  Emotion_23: 0.0828
  Emotion_24: 0.1544
  Emotion_25: 0.1044
Accuracy: 0.0829
Precision: 0.4335
Recall: 0.0829
F1 Score: 0.0394
