Evaluation Metrics:
Mean Average Precision (mAP): 0.2333
Per-Emotion AP:
  Emotion_0: 0.2490
  Emotion_1: 0.0869
  Emotion_2: 0.1177
  Emotion_3: 0.5505
  Emotion_4: 0.0528
  Emotion_5: 0.7079
  Emotion_6: 0.0990
  Emotion_7: 0.2126
  Emotion_8: 0.1583
  Emotion_9: 0.1613
  Emotion_10: 0.0216
  Emotion_11: 0.8465
  Emotion_12: 0.1498
  Emotion_13: 0.6465
  Emotion_14: 0.0795
  Emotion_15: 0.0516
  Emotion_16: 0.6335
  Emotion_17: 0.0498
  Emotion_18: 0.1909
  Emotion_19: 0.3896
  Emotion_20: 0.1455
  Emotion_21: 0.0601
  Emotion_22: 0.1394
  Emotion_23: 0.0752
  Emotion_24: 0.1171
  Emotion_25: 0.0744
Accuracy: 0.0841
Precision: 0.2864
Recall: 0.0841
F1 Score: 0.0253
