Evaluation Metrics:
Mean Average Precision (mAP): 0.2996
Per-Emotion AP:
  Emotion_0: 0.3986
  Emotion_1: 0.1705
  Emotion_2: 0.1678
  Emotion_3: 0.5764
  Emotion_4: 0.0683
  Emotion_5: 0.7591
  Emotion_6: 0.1673
  Emotion_7: 0.2838
  Emotion_8: 0.1898
  Emotion_9: 0.1914
  Emotion_10: 0.0276
  Emotion_11: 0.8623
  Emotion_12: 0.1674
  Emotion_13: 0.7046
  Emotion_14: 0.1628
  Emotion_15: 0.0809
  Emotion_16: 0.7420
  Emotion_17: 0.1286
  Emotion_18: 0.2650
  Emotion_19: 0.4703
  Emotion_20: 0.3635
  Emotion_21: 0.1202
  Emotion_22: 0.3823
  Emotion_23: 0.0881
  Emotion_24: 0.1608
  Emotion_25: 0.0891
Accuracy: 0.0911
Precision: 0.4496
Recall: 0.0911
F1 Score: 0.0482
