Evaluation Metrics:
Mean Average Precision (mAP): 0.3007
Per-Emotion AP:
  Emotion_0: 0.4036
  Emotion_1: 0.1724
  Emotion_2: 0.1692
  Emotion_3: 0.5818
  Emotion_4: 0.0693
  Emotion_5: 0.7604
  Emotion_6: 0.1785
  Emotion_7: 0.2606
  Emotion_8: 0.1911
  Emotion_9: 0.1892
  Emotion_10: 0.0377
  Emotion_11: 0.8689
  Emotion_12: 0.1671
  Emotion_13: 0.7011
  Emotion_14: 0.1670
  Emotion_15: 0.0785
  Emotion_16: 0.7357
  Emotion_17: 0.1272
  Emotion_18: 0.2699
  Emotion_19: 0.4649
  Emotion_20: 0.3556
  Emotion_21: 0.1413
  Emotion_22: 0.3795
  Emotion_23: 0.0921
  Emotion_24: 0.1655
  Emotion_25: 0.0896
Accuracy: 0.0870
Precision: 0.5725
Recall: 0.0870
F1 Score: 0.0377
