Evaluation Metrics:
Mean Average Precision (mAP): 0.3135
Per-Emotion AP:
  Emotion_0: 0.4070
  Emotion_1: 0.1972
  Emotion_2: 0.1797
  Emotion_3: 0.5858
  Emotion_4: 0.0802
  Emotion_5: 0.7701
  Emotion_6: 0.1805
  Emotion_7: 0.2912
  Emotion_8: 0.1997
  Emotion_9: 0.2034
  Emotion_10: 0.0284
  Emotion_11: 0.8715
  Emotion_12: 0.1780
  Emotion_13: 0.7170
  Emotion_14: 0.1857
  Emotion_15: 0.0886
  Emotion_16: 0.7641
  Emotion_17: 0.1621
  Emotion_18: 0.2839
  Emotion_19: 0.4879
  Emotion_20: 0.3879
  Emotion_21: 0.1188
  Emotion_22: 0.4211
  Emotion_23: 0.0965
  Emotion_24: 0.1673
  Emotion_25: 0.0976
Accuracy: 0.0839
Precision: 0.4341
Recall: 0.0839
F1 Score: 0.0355
