Evaluation Metrics:
Mean Average Precision (mAP): 0.3028
Per-Emotion AP:
  Emotion_0: 0.3987
  Emotion_1: 0.1894
  Emotion_2: 0.1617
  Emotion_3: 0.5800
  Emotion_4: 0.0713
  Emotion_5: 0.7531
  Emotion_6: 0.1692
  Emotion_7: 0.2809
  Emotion_8: 0.2065
  Emotion_9: 0.1960
  Emotion_10: 0.0283
  Emotion_11: 0.8577
  Emotion_12: 0.1684
  Emotion_13: 0.6987
  Emotion_14: 0.1774
  Emotion_15: 0.0921
  Emotion_16: 0.7465
  Emotion_17: 0.1289
  Emotion_18: 0.2660
  Emotion_19: 0.4800
  Emotion_20: 0.3782
  Emotion_21: 0.1207
  Emotion_22: 0.3850
  Emotion_23: 0.0876
  Emotion_24: 0.1579
  Emotion_25: 0.0937
Accuracy: 0.0894
Precision: 0.4200
Recall: 0.0894
F1 Score: 0.0543
