Evaluation Metrics:
Mean Average Precision (mAP): 0.3066
Per-Emotion AP:
  Emotion_0: 0.3956
  Emotion_1: 0.1538
  Emotion_2: 0.1835
  Emotion_3: 0.5853
  Emotion_4: 0.0844
  Emotion_5: 0.7651
  Emotion_6: 0.1855
  Emotion_7: 0.2925
  Emotion_8: 0.2007
  Emotion_9: 0.1966
  Emotion_10: 0.0233
  Emotion_11: 0.8646
  Emotion_12: 0.1674
  Emotion_13: 0.7022
  Emotion_14: 0.1498
  Emotion_15: 0.0963
  Emotion_16: 0.7527
  Emotion_17: 0.1496
  Emotion_18: 0.2730
  Emotion_19: 0.4868
  Emotion_20: 0.3830
  Emotion_21: 0.1084
  Emotion_22: 0.4231
  Emotion_23: 0.0852
  Emotion_24: 0.1614
  Emotion_25: 0.1009
Accuracy: 0.0776
Precision: 0.4731
Recall: 0.0776
F1 Score: 0.0283
