Evaluation Metrics:
Mean Average Precision (mAP): 0.3021
Per-Emotion AP:
  Emotion_0: 0.4100
  Emotion_1: 0.1095
  Emotion_2: 0.1600
  Emotion_3: 0.5854
  Emotion_4: 0.0758
  Emotion_5: 0.7864
  Emotion_6: 0.1950
  Emotion_7: 0.3028
  Emotion_8: 0.2027
  Emotion_9: 0.2011
  Emotion_10: 0.0240
  Emotion_11: 0.8743
  Emotion_12: 0.1439
  Emotion_13: 0.7185
  Emotion_14: 0.1182
  Emotion_15: 0.0818
  Emotion_16: 0.7692
  Emotion_17: 0.1223
  Emotion_18: 0.2730
  Emotion_19: 0.5023
  Emotion_20: 0.3621
  Emotion_21: 0.1512
  Emotion_22: 0.3697
  Emotion_23: 0.0763
  Emotion_24: 0.1484
  Emotion_25: 0.0906
Accuracy: 0.0719
Precision: 0.3261
Recall: 0.0719
F1 Score: 0.0144
