Evaluation Metrics:
Mean Average Precision (mAP): 0.3166
Per-Emotion AP:
  Emotion_0: 0.4226
  Emotion_1: 0.1759
  Emotion_2: 0.1874
  Emotion_3: 0.5883
  Emotion_4: 0.0930
  Emotion_5: 0.7825
  Emotion_6: 0.1874
  Emotion_7: 0.3289
  Emotion_8: 0.2086
  Emotion_9: 0.2034
  Emotion_10: 0.0270
  Emotion_11: 0.8746
  Emotion_12: 0.1733
  Emotion_13: 0.7186
  Emotion_14: 0.1837
  Emotion_15: 0.0999
  Emotion_16: 0.7746
  Emotion_17: 0.1384
  Emotion_18: 0.2862
  Emotion_19: 0.4957
  Emotion_20: 0.3935
  Emotion_21: 0.1028
  Emotion_22: 0.4193
  Emotion_23: 0.1000
  Emotion_24: 0.1619
  Emotion_25: 0.1043
Accuracy: 0.0826
Precision: 0.4085
Recall: 0.0826
F1 Score: 0.0341
